KEY;PARKING_OR_CLUSTER;CLUSTER_NAME
6ea5dc67-7487-47f4-b7fb-b3bcbdd4fbc7;P1;P_Erasmusbrug
02c8724c-9599-4924-80f0-02827e35835b;P3;P_St.Jacobsplaats
015e8c04-f64f-4a53-b5e2-56388c1e7a56;P4;P_Schouwburgplein
977929e5-93e0-4249-9b8a-2928ba47747d;P15;P_Erasmus MC
3d6b8409-9f13-4c36-9626-e62468efdebc;Cluster;Zuidplein en Ahoy
01c83e1f-796b-4f4f-a430-b4d581ca03b0;P19;P_Museumpark
c9621f2f-e15d-45e6-a136-aeb66e866a3a;Cluster;Schouwburgplein
9e1dbece-0c0a-45a6-85ea-fc1ef8a1cd7b;Cluster;heel Zuidplein
ca08492c-9b6a-4923-94b9-86df37fb58fa;Cluster;P30 Slinge totaal
72dc5814-19a2-41a4-839d-e244aa7e4046;P37;P+R_Beverwaard
142536a9-df47-433c-bd18-bc34a59881f7;P35;P+R_Schiedam Centrum
3955ec92-5cbb-4dff-a71e-f6b931302b20;P34;P+R_Meijersplein
b6c97fe9-8ea4-4183-8da2-d6989d535804;P40;P+R Vijfsluizen
c97bc20e-be85-4162-8bca-85c91f588b0b;P8;P_Weena
75c551cb-f33b-4760-ab95-7e06da91fa9d;P14;P_Plaza/Casino
3eb4f4bd-55cd-46cc-8b0a-3a3c31559e4f;P9;P_Kruiskade
6a1f13d4-4ce4-4cf6-b6b2-eee73970cbb2;P10;P_Westblaak
6ee32956-fa28-44f8-b00b-6ae43ef91f11;P7;P_Lijnbaan
97faf6ca-810d-4cf3-bddb-aebeea08ac3b;P13;P_Bijenkorf
f0de9baa-2f9c-4040-a9b7-d26d43e3abeb;P16;P_Beursplein
cc8ebb63-0ac5-4a7d-ad10-497c5e13ca10;P12;P_WTC-V&D
68b45fa2-b4bd-45e1-a6f5-7c3e227deb1f;P5;P_Oude Haven
3fc93135-c5f5-4518-af8b-7f4370c8096a;P42;P+R Kralingse Zoom
07ff47c3-0d69-4ec2-8938-629ae6324544;P18;P_Boompjes
0fb60d7c-e259-4633-9151-6538d0959f22;P17;P_World Port Center
e630c568-7580-4186-8b74-4305bb31e658;P31;P_Zuidplein
ea1fd47f-9a12-4cde-9595-722f05810a19;P33;P_Ahoy
5c3e2488-32bb-4b8b-ae1a-aa8df333cfba;P30;P+R_Slinge benedendek
6cc2b5a0-60a8-49ba-852f-99b2e183ee28;P301;P+R Slinge bovendek
eaf9c632-e937-49c5-895e-4d6659984165;P36;P+R_Alexander
a2abb8f5-8993-4a7d-af1c-62665f095172;P2;P_Kiphof
4a97b519-fb39-46d0-b924-ef39e239b16f;P11;P_Beurs-WTC
e6af05c5-e3c4-4a59-b893-8e14edce96e1;P41;P+R Capelsebrug
7a054aa9-8b53-40fc-a0e1-d9791c7b1dc4;P43;P+R Noorderhelling
